Party,Female,Male,Total,Not_classified
PV,153402,213396,376662,9864
DC,81192,100737,187128,5199
PATRI,30840,46912,80085,2333
PCO,1428,2199,3730,103
PROS,38112,56084,97420,3224
PODE,69594,92916,167230,4720
PT,695968,859134,1592885,37783
PRP,109608,134445,250645,6592
PPS,197057,271701,481101,12343
PSD,132132,185601,327327,9594
PCB,6471,7824,14702,407
NOVO,3877,21837,26172,458
SD,94820,111632,212353,5901
PMN,97746,117756,221315,5813
PSTU,7676,9082,17151,393
PTC,84897,108781,199256,5578
REDE,8711,14421,23904,772
PDT,547072,678872,1257338,31394
DEM,467118,597867,1093644,28659
PC DO B,173603,213242,397794,10949
PSL,98014,136619,241134,6501
PSC,181718,229935,423217,11564
PRB,199399,188623,398693,10671
PP,628691,778877,1444932,37364
PR,347057,429705,797205,20443
PMB,22964,18664,42887,1259
PHS,92713,116811,215343,5819
PTB,525647,638381,1192023,27995
PSB,266390,349158,632138,16590
MDB,1054212,1280398,2393145,58535
AVANTE,82167,100143,187204,4894
PPL,17036,22140,40332,1156
PSDB,637444,786507,1460382,36431
PSOL,65875,80326,150314,4113
PRTB,58645,76277,138825,3903
